idx_int,idx_str,url,pa_null,np_nan,np_inf,np_negative_inf,np_int16,one_value_string,one_value_int,one_value_float,one_value_bool,int8,int16,int32,int64,uint8,uint16,uint32,uint64,halffloat,float,double,bool,bool_with_nulls,int_with_nulls,string,string_with_nulls,datetime,datetime_with_nulls,list_of_integers,list_of_strings,blob,dict,dict_with_nulls,struct,struct_with_nulls,s3_url,s3_alternative_url
49,s49,https://placehold.co/349x351.png,,,inf,-inf,49,single value,1,1.23456789,True,46,-368,799,-4,252,996,505,401,0.497,0.5225192,0.46459859663581016,False,,2.0,a with space,emoji 🤣,2023-06-17,2023-08-15,[25 47 51],['WqM' 'yeuPH7' 'M3EHMoQro'],b'u\xb8\xee',"[('u37', 15)]","[('vX4', 46)]","{'x': 8, 'y': 'gXI'}","{'x': 42, 'y': 'XRg'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
50,s50,https://placehold.co/350x350.png,,,inf,-inf,50,single value,1,1.23456789,True,61,-373,306,109,229,564,805,295,0.765,0.7322718,0.6804566263593252,True,True,1.0,emoji 🤣,,2023-02-27,2023-11-30,[54 99 74],['f8V' 'Rgksbu' 'dwApzQlkL'],b'G\xde\xc5\x9dj\xa9z\xfc',"[('qTx', 30)]","[('ZJA', 70)]","{'x': 76, 'y': 'FOH'}","{'x': 57, 'y': 'tNV'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
51,s51,https://placehold.co/351x349.png,,,inf,-inf,51,single value,1,1.23456789,True,-78,-28,-974,-304,6,676,738,839,0.10297,0.0033463622,0.3955450838799687,True,,2.0,"multiple
lines	string",a with space,2023-10-11,2023-08-10,[22 14 26 74],['xQE' 'KoNCP3' 'CrHe69s7Q'],b'\xbd',"[('vhy', 13)]","[('pV4', 23)]","{'x': 70, 'y': 'L53'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
52,s52,https://placehold.co/352x348.png,,,inf,-inf,52,single value,1,1.23456789,True,-21,768,-775,308,173,713,882,294,0.3345,0.46731076,0.9746998518706899,True,False,1.0,,a with space,2023-01-26,2023-02-10,[80 50 52],['Cs9' '0gxwsR' 'bZya1W84U'],b'I9I',"[('CZQ', 33)]","[('fLH', 18)]","{'x': 97, 'y': 'I90'}","{'x': 38, 'y': 'D6i'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
53,s53,https://placehold.co/353x347.png,,,inf,-inf,53,single value,1,1.23456789,True,-74,282,300,997,140,457,14,615,0.0755,0.29700288,0.7218876279269351,False,False,1.0,"multiple
lines	string",c having special characters: !@#$%^&*(),2023-03-07,2023-07-15,[91 50],['Z3W' 'oXnlpU' 'VQigMcWcw'],b'\x9c',"[('DA2', 23)]","[('paU', 39)]","{'x': 23, 'y': 'zNZ'}","{'x': 5, 'y': '3pw'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
54,s54,https://placehold.co/354x346.png,,,inf,-inf,54,single value,1,1.23456789,True,115,382,-203,243,167,82,191,525,0.7534,0.8528218,0.6569838575644931,True,True,3.0,emoji 🤣,emoji 🤣,2023-09-05,2023-03-09,[ 3  6 34],['i4u' 'zmW2wF' 'qk467s1XD'],b'\x8c\x90\xf3',"[('kiT', 72)]",,"{'x': 43, 'y': 'uoH'}","{'x': 88, 'y': 'l4u'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
55,s55,https://placehold.co/355x345.png,,,inf,-inf,55,single value,1,1.23456789,True,-65,-291,632,92,169,144,984,799,0.2722,0.71555334,0.7570592676112233,False,False,1.0,a with space,a with space,2023-09-11,2023-09-21,[71],['eUn' 'PPy0If' 'yqhwUqxNx'],b'\\\x10',"[('80g', 63)]","[('aGG', 66)]","{'x': 79, 'y': 'xIU'}","{'x': 19, 'y': '1uE'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
56,s56,https://placehold.co/356x344.png,,,inf,-inf,56,single value,1,1.23456789,True,120,479,-717,70,136,84,630,690,0.8975,0.5891085,0.952648638038717,False,True,3.0,"multiple
lines	string",,2023-02-13,2023-01-02,[80],['PDM' '6uLONC' 'ROhcc9hoH'],b'\xf4',"[('4DJ', 82)]","[('xmX', 26)]","{'x': 55, 'y': 'wC7'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
57,s57,https://placehold.co/357x343.png,,,inf,-inf,57,single value,1,1.23456789,True,2,434,-122,8,177,77,484,636,0.5264,0.27726564,0.9078186529846402,True,False,1.0,"multiple
lines	string",emoji 🤣,2023-04-07,2023-12-27,[71 18 62 37],['yx6' 'RHKT2O' 'ZM6rQnBow'],b'\x7fJ\x91$W\xd3\xfd',"[('BLW', 4)]","[('zgA', 65)]","{'x': 49, 'y': 'acr'}","{'x': 36, 'y': 'egD'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
58,s58,https://placehold.co/358x342.png,,,inf,-inf,58,single value,1,1.23456789,True,100,-352,-41,-907,26,456,27,421,0.801,0.9103391,0.7242853081264119,True,True,,a with space,,2023-02-11,2023-05-05,[12],['8w3' 'Ndr86Z' 'fnN8du9Wm'],b'\x0c\xd5A\x1dD\xe5P',"[('L12', 26)]","[('KqH', 1)]","{'x': 80, 'y': 'bi3'}","{'x': 68, 'y': '0rv'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
59,s59,https://placehold.co/359x341.png,,,inf,-inf,59,single value,1,1.23456789,True,-78,-683,504,773,121,877,713,864,0.979,0.045100678,0.7491616391012831,False,,1.0,,,2023-08-15,2023-04-20,[30],['ZIK' 'YoWWKr' '99HXg1iwW'],b'\x06\x14N',"[('T3D', 14)]","[('JL9', 29)]","{'x': 77, 'y': 'a9n'}","{'x': 65, 'y': 'JFz'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
60,s60,https://placehold.co/360x340.png,,,inf,-inf,60,single value,1,1.23456789,True,6,700,-548,-43,193,0,38,22,0.84,0.109467596,0.14592207403514545,True,False,,a with space,a with space,2023-09-19,2023-03-27,[95 21],['Kaq' 'hAhdBw' 'KCnMT4OsN'],b'4cUk\xc0\x00\xc8',"[('E3B', 52)]","[('ymI', 27)]","{'x': 22, 'y': 'tV6'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
61,s61,https://placehold.co/361x339.png,,,inf,-inf,61,single value,1,1.23456789,True,-108,248,19,11,4,50,952,574,0.867,0.39163014,0.10279240449266569,False,False,,"multiple
lines	string",emoji 🤣,2023-06-16,2023-04-30,[66 53  9],['b90' 'AgSB3t' 'jhMKSxLsF'],,"[('dOa', 46)]","[('IlI', 9)]","{'x': 68, 'y': 'Y4F'}","{'x': 63, 'y': 'SgI'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
62,s62,https://placehold.co/362x338.png,,,inf,-inf,62,single value,1,1.23456789,True,-56,842,852,-548,28,684,272,142,0.408,0.124437556,0.5709045018441643,True,True,1.0,,,2023-10-06,2023-05-07,[20 79],['AXh' 'O2I1A3' 'zZyTttp7Q'],b'\xfa\xe0Y\xac\xfc\xc6hy\x82',"[('1GU', 94)]","[('D9J', 39)]","{'x': 17, 'y': 'JJf'}","{'x': 33, 'y': 'esC'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
63,s63,https://placehold.co/363x337.png,,,inf,-inf,63,single value,1,1.23456789,True,38,257,-185,227,164,716,230,992,0.552,0.9564157,0.01836763694054,True,True,,,"multiple
lines	string",2023-03-30,2023-09-12,[23],['Dff' 'AUxid7' 'IPz26A4dr'],b'\xeaw\xce8\x9f',"[('Sn7', 11)]","[('Wyi', 41)]","{'x': 42, 'y': 'Cjq'}","{'x': 37, 'y': 'Kop'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
64,s64,https://placehold.co/364x336.png,,,inf,-inf,64,single value,1,1.23456789,True,-111,-317,-342,-89,165,771,85,664,0.254,0.7979893,0.48235638155159155,True,False,3.0,a with space,a with space,2023-06-27,2023-07-02,[56 93],['tgF' 'jD0vIh' 'roAIVMPIL'],b'5\x8f7\xbb\x9b\x9a3\xb9H',"[('2GQ', 86)]","[('1ho', 79)]","{'x': 17, 'y': '3pp'}","{'x': 96, 'y': 'jDe'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
65,s65,https://placehold.co/365x335.png,,,inf,-inf,65,single value,1,1.23456789,True,3,-337,539,-783,82,445,473,144,0.1962,0.25898266,0.2103495799188686,False,True,2.0,"multiple
lines	string",a with space,2023-07-16,2023-01-16,,['OQb' 'qV5vli' 'OeT8fGxCj'],b'\\',"[('MAT', 0)]","[('W6g', 56)]","{'x': 62, 'y': 'sJJ'}","{'x': 64, 'y': 'mRA'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
66,s66,https://placehold.co/366x334.png,,,inf,-inf,66,single value,1,1.23456789,True,-40,998,-454,-527,135,448,125,224,0.5054,0.5885542,0.34601656764483957,True,False,1.0,emoji 🤣,,2023-11-03,2023-03-03,[25 70 29  6],['tu6' 'K2jUdf' 'BALznFvgQ'],b'\xf2)/|ke\x9c \xb2',"[('DPN', 65)]","[('FWX', 26)]","{'x': 50, 'y': 'neu'}","{'x': 0, 'y': '8Jv'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
67,s67,https://placehold.co/367x333.png,,,inf,-inf,67,single value,1,1.23456789,True,-69,850,215,-569,239,880,811,502,0.595,0.9823305,0.7758047357929561,False,,,"multiple
lines	string",emoji 🤣,2023-09-24,2023-06-07,,['KGt' 'n9dm6V' 'VrhEAiHoI'],b'\xcd\x02\x88s\x9c-\xb4',"[('jZ3', 20)]","[('MQd', 33)]","{'x': 31, 'y': 'DE3'}","{'x': 3, 'y': 'RkP'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
68,s68,https://placehold.co/368x332.png,,,inf,-inf,68,single value,1,1.23456789,True,-115,397,72,-660,108,487,536,961,0.3394,0.88419896,0.9412375042323865,False,True,1.0,c having special characters: !@#$%^&*(),emoji 🤣,2023-09-25,2023-09-25,[0],['Pvy' 'UBCetA' 'zNrz7k6CQ'],b'\xa8\xcf',"[('Ma5', 48)]","[('yNX', 88)]","{'x': 95, 'y': 'RYf'}","{'x': 26, 'y': 'TSZ'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
69,s69,https://placehold.co/369x331.png,,,inf,-inf,69,single value,1,1.23456789,True,113,695,535,-450,64,799,144,973,0.5693,0.6007984,0.0724162721463415,False,False,3.0,emoji 🤣,,2023-03-15,2023-02-04,,,b'\x8a\x10l',"[('FDE', 84)]","[('ZDL', 39)]","{'x': 96, 'y': 'NcY'}","{'x': 31, 'y': 'hKu'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
70,s70,https://placehold.co/370x330.png,,,inf,-inf,70,single value,1,1.23456789,True,121,631,-984,635,85,33,524,820,0.8877,0.90372396,0.5342422059764451,False,,1.0,,,2023-01-08,2023-09-24,,['wBg' 'Bye1Un' 'WeNGmWv7O'],b'\xe7\xa4\xb4\xcd\x91Z\xf8\x03\xb2',"[('kUt', 96)]","[('fqw', 89)]","{'x': 97, 'y': 'xW5'}","{'x': 54, 'y': 'gBt'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
71,s71,https://placehold.co/371x329.png,,,inf,-inf,71,single value,1,1.23456789,True,-120,495,195,312,243,347,211,615,0.5566,0.9891849,0.8825334858196,True,,1.0,emoji 🤣,,2023-10-24,2023-03-05,[72  0 35 34],,b'\xdf.',"[('urF', 14)]",,"{'x': 25, 'y': 'u2A'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
72,s72,https://placehold.co/372x328.png,,,inf,-inf,72,single value,1,1.23456789,True,-39,256,243,277,144,94,24,103,0.7207,0.74335283,0.08250853444042128,False,False,,,emoji 🤣,2023-06-13,2023-02-19,[22  8 33 45],['jgp' 'kjVe6M' 'CIJQ2N9u8'],,"[('IxY', 51)]",,"{'x': 79, 'y': '5hV'}","{'x': 79, 'y': 'zLQ'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
73,s73,https://placehold.co/373x327.png,,,inf,-inf,73,single value,1,1.23456789,True,-76,715,-843,757,254,71,579,946,0.805,0.06498641,0.8245140468968338,False,True,3.0,,,2023-03-26,2023-09-12,[29 94 74 98],['tBD' 'NXKveC' 'cwrN8fKxJ'],b'g\x97:\xbe#)\xd3\xf7N',"[('eBJ', 24)]","[('LS5', 19)]","{'x': 93, 'y': 'U05'}","{'x': 87, 'y': 'KYu'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
74,s74,https://placehold.co/374x326.png,,,inf,-inf,74,single value,1,1.23456789,True,1,136,-524,-644,70,550,393,38,0.989,0.40158024,0.35780135092827137,True,False,2.0,emoji 🤣,a with space,2023-03-13,2023-05-29,[59 76],['7Tc' '4JlLF7' 'BYZ8fOcR9'],"b'0,Q\xfb\xac\x92\xf8\x12Q'","[('fEt', 4)]","[('yOr', 65)]","{'x': 68, 'y': 'NNd'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
75,s75,https://placehold.co/375x325.png,,,inf,-inf,75,single value,1,1.23456789,True,-45,853,69,-978,216,153,66,946,0.603,0.8378257,0.32209470221933534,False,,2.0,,c having special characters: !@#$%^&*(),2023-02-24,2023-11-21,[44 60],['GLw' '4yWQdN' 'uuIxp07Lj'],b'N\t\xf8n\x13\xc2',"[('8Ub', 46)]","[('7dV', 35)]","{'x': 81, 'y': 'GtJ'}","{'x': 17, 'y': 'Ndn'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
76,s76,https://placehold.co/376x324.png,,,inf,-inf,76,single value,1,1.23456789,True,-37,520,396,785,44,249,232,197,0.8066,0.2305692,0.9774663863147858,True,False,,,"multiple
lines	string",2023-02-16,2023-10-31,[15 65],['fP4' 'tOPhRf' 'INuhR694f'],b'R7Y',"[('zcI', 90)]","[('kEa', 26)]","{'x': 65, 'y': 'uRj'}","{'x': 42, 'y': 'iKU'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
77,s77,https://placehold.co/377x323.png,,,inf,-inf,77,single value,1,1.23456789,True,-18,-559,-483,-479,131,673,108,645,0.963,0.8306425,0.20085908986229417,False,True,1.0,c having special characters: !@#$%^&*(),a with space,2023-08-26,2023-10-03,,['PFb' 't6vVl9' 'jsWFHTGP2'],b':8\x97\x11\xb6\xfb\xe5\xb4',"[('ZX7', 91)]","[('05G', 56)]","{'x': 44, 'y': 'P98'}","{'x': 41, 'y': 'YUO'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
78,s78,https://placehold.co/378x322.png,,,inf,-inf,78,single value,1,1.23456789,True,59,-437,-902,781,35,437,145,578,0.9443,0.12033876,0.6931939408226809,True,,,"multiple
lines	string",emoji 🤣,2023-04-14,2023-12-23,[15 59],['MLj' 'lQM3Sc' 'wS8LUWoo7'],b'J\x0b\x9a\x0b',"[('N3I', 22)]","[('mWF', 28)]","{'x': 62, 'y': 'UJf'}","{'x': 17, 'y': 'CsM'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
79,s79,https://placehold.co/379x321.png,,,inf,-inf,79,single value,1,1.23456789,True,70,291,915,860,69,117,110,390,0.1411,0.046945356,0.8214407280098664,False,False,,"multiple
lines	string","multiple
lines	string",2023-07-29,2023-06-21,[12 55],['W4m' 'QJBVWF' 'zkmL2dDx5'],b'=$',"[('OCv', 39)]","[('RMP', 27)]","{'x': 76, 'y': 'AWj'}","{'x': 29, 'y': 'Bm2'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
80,s80,https://placehold.co/380x320.png,,,inf,-inf,80,single value,1,1.23456789,True,43,533,768,123,251,770,227,178,0.4065,0.3840906,0.041183495279271676,True,True,,c having special characters: !@#$%^&*(),c having special characters: !@#$%^&*(),2023-02-11,2023-07-20,[33 38 66  7],,b'[9\\\x01\x9e\x02\xca\xa1{',"[('ZY0', 88)]","[('wO8', 23)]","{'x': 54, 'y': 'uDU'}","{'x': 57, 'y': 'sXQ'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
81,s81,https://placehold.co/381x319.png,,,inf,-inf,81,single value,1,1.23456789,True,124,830,60,-199,158,890,110,967,0.324,0.036731936,0.6703854583544122,False,,1.0,emoji 🤣,c having special characters: !@#$%^&*(),2023-11-12,2023-11-20,[54 26 92 52],['SFh' 'fjBFZf' '4Y25zyxxf'],b'\xce2e\x8c/\xd4t\x0c',"[('uVL', 71)]","[('fry', 77)]","{'x': 34, 'y': 'Hqy'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
82,s82,https://placehold.co/382x318.png,,,inf,-inf,82,single value,1,1.23456789,True,-121,409,-721,203,18,305,469,553,0.0869,0.95727026,0.951549974355327,False,True,3.0,a with space,,2023-09-25,2023-02-04,[29],['ntg' 'Sujc4D' 'ZVDM4bnj6'],b'\xc8\xfc\x12m\xf9@n\x95',"[('SwC', 60)]","[('Pzm', 87)]","{'x': 25, 'y': 'ARV'}","{'x': 17, 'y': '46S'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
83,s83,https://placehold.co/383x317.png,,,inf,-inf,83,single value,1,1.23456789,True,46,410,372,246,188,267,33,447,0.6333,0.8262057,0.12421996672805935,True,,,a with space,"multiple
lines	string",2023-09-20,2023-08-04,[18],['LAW' 'ohoNMd' 'ZEHNJSsav'],b'\xdf\xe5n\xad9-\x9c',"[('gOa', 52)]","[('aR4', 57)]","{'x': 44, 'y': 'Dmy'}","{'x': 39, 'y': '49K'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
84,s84,https://placehold.co/384x316.png,,,inf,-inf,84,single value,1,1.23456789,True,-94,136,-504,929,107,960,622,499,0.736,0.8007697,0.8962213026850383,True,False,1.0,a with space,,2023-12-02,2023-03-06,[24],['JlP' 'Gw7HWF' 'b2cxxUweo'],b'\xe4\xf9\xd0',"[('wNX', 55)]","[('ITI', 69)]","{'x': 64, 'y': 'JI9'}","{'x': 64, 'y': 'LF0'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
85,s85,https://placehold.co/385x315.png,,,inf,-inf,85,single value,1,1.23456789,True,77,636,-699,-239,181,53,775,14,0.848,0.6297779,0.5947766373769361,True,True,3.0,c having special characters: !@#$%^&*(),a with space,2023-12-31,2023-01-08,[54],['OgK' 'UivuNZ' 'Q8DliS6cm'],b'[\x8c\x98\xa9\x08\xe5\xe9',"[('Hxg', 92)]","[('KvY', 35)]","{'x': 85, 'y': 'Gpq'}","{'x': 48, 'y': '0d3'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
86,s86,https://placehold.co/386x314.png,,,inf,-inf,86,single value,1,1.23456789,True,-48,648,-820,682,166,235,935,622,0.1228,0.21632402,0.616604581862474,True,,,c having special characters: !@#$%^&*(),,2023-09-16,2023-10-28,[73  9],['X2t' 'tyYDcO' 'r1cOqXByB'],b'\x9c\x8b\xfe\xbf\xb9-',"[('3EY', 58)]","[('o7C', 79)]","{'x': 18, 'y': 'AQJ'}","{'x': 28, 'y': '8aI'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
87,s87,https://placehold.co/387x313.png,,,inf,-inf,87,single value,1,1.23456789,True,35,-49,-394,-559,90,388,368,668,0.8765,0.51826036,0.6129441748656059,False,True,2.0,,,2023-10-10,2023-12-09,[51 19],['7vl' 'QwXqfA' 'A9lsgusBS'],b'\xdeC\xfc\x9a\x82+\xdf',"[('Uzp', 64)]","[('zak', 55)]","{'x': 54, 'y': 'gzw'}","{'x': 77, 'y': '8gr'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
88,s88,https://placehold.co/388x312.png,,,inf,-inf,88,single value,1,1.23456789,True,-79,104,122,631,201,989,747,288,0.643,0.59727407,0.29883588633731384,False,True,3.0,a with space,,2023-04-24,2023-11-28,[49 27],['kBB' 'T4MANX' 'dPzFUjb0Q'],b'\xe9\x01C\xda',"[('mh0', 50)]","[('FIF', 32)]","{'x': 59, 'y': 'lvO'}","{'x': 46, 'y': 'bAK'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
89,s89,https://placehold.co/389x311.png,,,inf,-inf,89,single value,1,1.23456789,True,-25,-302,-301,-232,89,733,594,477,0.704,0.5250315,0.9352018152994597,True,False,,emoji 🤣,"multiple
lines	string",2023-12-29,2023-03-17,[23],['Bho' 'Ow6cjB' 'wBeiwtr7b'],b'=\xce\x1d\xc2\xa9\xdb',"[('nZl', 91)]","[('vhF', 19)]","{'x': 18, 'y': 'Vkv'}","{'x': 50, 'y': 'MSz'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
90,s90,https://placehold.co/390x310.png,,,inf,-inf,90,single value,1,1.23456789,True,3,-888,-8,15,18,762,553,230,0.9106,0.26023337,0.9473504626310387,False,True,3.0,emoji 🤣,,2023-02-09,2023-06-23,[62  3],['lG4' 'hWRnLR' '9miekS9Y7'],b'\x0f\xca\xdeb\x07\xee',"[('uUc', 38)]","[('pHX', 66)]","{'x': 51, 'y': 'YXM'}","{'x': 69, 'y': 'Ank'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
91,s91,https://placehold.co/391x309.png,,,inf,-inf,91,single value,1,1.23456789,True,-127,-999,139,348,38,824,424,922,0.625,0.51524794,0.6253046602139478,True,,3.0,a with space,a with space,2023-08-08,2023-02-16,[ 7 81 11],['9PR' 'IssjRR' 'kwn9XoEwJ'],"b""'\xfc\xd2=\xec\x9c\x8a\x99\xba""","[('NPh', 71)]","[('pBx', 15)]","{'x': 48, 'y': 'B5o'}","{'x': 87, 'y': 'iI0'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
92,s92,https://placehold.co/392x308.png,,,inf,-inf,92,single value,1,1.23456789,True,125,-359,-810,-485,125,400,612,419,0.336,0.49118635,0.7834227259416147,True,,3.0,a with space,,2023-05-09,2023-01-15,[33 81],['C8i' '2eySDz' 'zJhteCGhZ'],b'\xd9',"[('3CK', 60)]","[('Dpv', 67)]","{'x': 98, 'y': 'QjT'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
93,s93,https://placehold.co/393x307.png,,,inf,-inf,93,single value,1,1.23456789,True,5,-781,-748,39,194,623,517,156,0.825,0.9963358,0.612257985881158,False,,3.0,a with space,"multiple
lines	string",2023-01-08,2023-12-27,[74 75 48],['IKV' 'iF1ZGs' 'k5n6Grem7'],b'Y\x83c',"[('F7a', 91)]","[('WQ3', 77)]","{'x': 98, 'y': 'fTp'}","{'x': 53, 'y': 'wzr'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
94,s94,https://placehold.co/394x306.png,,,inf,-inf,94,single value,1,1.23456789,True,-75,589,-20,-209,172,766,691,549,0.363,0.89743614,0.4843984475740406,False,,3.0,c having special characters: !@#$%^&*(),,2023-04-11,2023-05-27,[92 25 17],['rMM' 'fNKKkM' '3u5c1f6Vq'],b'\x7f',"[('TIA', 72)]","[('1Dp', 77)]","{'x': 37, 'y': 'MjZ'}","{'x': 23, 'y': '2ha'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
95,s95,https://placehold.co/395x305.png,,,inf,-inf,95,single value,1,1.23456789,True,-23,-146,-73,-665,140,302,281,440,0.03424,0.46338075,0.6608201182992507,False,False,3.0,c having special characters: !@#$%^&*(),"multiple
lines	string",2023-06-25,2023-01-26,[80 86],['nJM' 'b3HNsp' 'YzCQjzCvi'],b'\xee\x90\x99C\xc2\xd0\x02\xa3\xa5',"[('K5W', 57)]","[('xWn', 15)]","{'x': 86, 'y': 'rvX'}","{'x': 70, 'y': 'Oi2'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
96,s96,https://placehold.co/396x304.png,,,inf,-inf,96,single value,1,1.23456789,True,-125,759,184,782,241,918,319,96,0.8306,0.6229374,0.5530014525919584,False,True,,c having special characters: !@#$%^&*(),,2023-04-17,2023-11-04,[40  5 68 43],['1t9' 'vyVFgo' 'hBid61z73'],b'\xdd',"[('4Qk', 33)]","[('RXz', 86)]","{'x': 21, 'y': 'sDu'}","{'x': 62, 'y': 'O8i'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
97,s97,https://placehold.co/397x303.png,,,inf,-inf,97,single value,1,1.23456789,True,-75,248,279,-743,219,206,737,996,0.3452,0.7478716,0.5974758626319301,False,False,2.0,"multiple
lines	string",c having special characters: !@#$%^&*(),2023-04-11,2023-04-03,[27],['Y5S' 'lj9C2E' 'fyCoKdrL0'],b'y\xfd\xd3\xb1m',"[('YgO', 51)]","[('vHR', 70)]","{'x': 34, 'y': 'TnH'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
98,s98,https://placehold.co/398x302.png,,,inf,-inf,98,single value,1,1.23456789,True,92,-616,346,-504,125,228,442,410,0.774,0.03486516,0.7838325534188619,False,True,1.0,emoji 🤣,,2023-09-17,2023-08-20,[18],['Pra' 'giqwzc' 'dIwrxBIZM'],b'\x86k\xe2\xd2',"[('Lt2', 0)]","[('qry', 14)]","{'x': 45, 'y': 'UIM'}","{'x': 61, 'y': 'iX1'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
